Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.24    0.00 35000103/35000103     luaV_execute <cycle 1> [2]
[14]     0.7    0.24    0.00 35000103         luaT_getvarargs [14]
-----------------------------------------------
                0.00    0.00       1/142865      luaX_newstring [86]
                0.00    0.00       1/142865      lua_pushstring [106]
                0.00    0.00       1/142865      lua_newuserdatauv [107]
                0.00    0.00       1/142865      luaL_getsubtable [91]
                0.00    0.00       1/142865      luaopen_debug [79]
                0.00    0.00       1/142865      luaopen_package [33]
                0.00    0.00       1/142865      luaopen_string [72]
                0.00    0.00       1/142865      luaopen_table [80]
                0.00    0.19  142857/142865      luaV_execute <cycle 1> [2]
[15]     0.6    0.00    0.20  142865         luaC_step [15]
                0.03    0.10  714290/714294      dothecall [18]
                0.00    0.07  142858/142859      atomic [21]
                0.00    0.00  142858/142859      finishgencycle [174]
                0.00    0.00  142858/142867      luaE_setdebt [172]
                0.00    0.00      33/286011      reallymarkobject [170]
-----------------------------------------------
                0.00    0.00       1/20000290     luaF_initupvals [42]
                0.00    0.00       4/20000290     luaS_newudata [139]
                0.00    0.00       6/20000290     luaF_newproto [130]
                0.00    0.00       7/20000290     luaF_newCclosure [41]
                0.00    0.00       9/20000290     luaS_newlstr [128]
                0.00    0.00      21/20000290     luaH_new [117]
                0.00    0.00     235/20000290     internshrstr [105]
                0.04    0.03 10000001/20000290     luaF_findupval [17]
                0.04    0.03 10000006/20000290     luaF_newLclosure [20]
[16]     0.4    0.08    0.06 20000290         luaC_newobj [16]
                0.04    0.02 20000290/20000364     luaM_malloc_ [24]
-----------------------------------------------
                0.06    0.07 10000001/10000001     luaV_execute <cycle 1> [2]
[17]     0.4    0.06    0.07 10000001         luaF_findupval [17]
                0.04    0.03 10000001/20000290     luaC_newobj [16]
-----------------------------------------------
                0.00    0.00       4/714294      luaD_rawrunprotected <cycle 1> [30]
                0.03    0.10  714290/714294      luaC_step [15]
[18]     0.4    0.03    0.10  714294         dothecall [18]
                0.04    0.02 19999881/20000430     luaM_free_ [23]
                0.04    0.00 19999881/20000290     freeobj [27]
                0.00    0.00       1/21          luaH_free [122]
-----------------------------------------------
                0.09    0.00 25000004/25000004     forprep [12]
[19]     0.3    0.09    0.00 25000004         luaV_tointeger [19]
-----------------------------------------------
                0.00    0.00       1/10000006     luaY_parser [36]
                0.02    0.07 10000005/10000006     luaV_execute <cycle 1> [2]
[20]     0.3    0.02    0.07 10000006         luaF_newLclosure [20]
                0.04    0.03 10000006/20000290     luaC_newobj [16]
-----------------------------------------------
                0.00    0.00       1/142859      entergen [110]
                0.00    0.07  142858/142859      luaC_step [15]
[21]     0.2    0.00    0.07  142859         atomic [21]
                0.06    0.00  285779/285779      propagatemark [22]
                0.01    0.00  285718/285718      convergeephemerons [45]
                0.00    0.00  571436/571436      clearbyvalues [168]
                0.00    0.00  285718/285718      clearbykeys [171]
                0.00    0.00  142859/142860      separatetobefnz [173]
                0.00    0.00  142859/142859      luaS_clearcache [175]
-----------------------------------------------
                0.06    0.00  285779/285779      atomic [21]
[22]     0.2    0.06    0.00  285779         propagatemark [22]
                0.00    0.00       1/6           luaT_gettm [141]
                0.00    0.00  285975/286011      reallymarkobject [170]
                0.00    0.00      23/110         luaH_realasize [180]
-----------------------------------------------
                0.00    0.00       3/20000430     luaD_protectedparser <cycle 1> [63]
                0.00    0.00       3/20000430     sweep2old [145]
                0.00    0.00      21/20000430     luaH_newkey <cycle 4> [57]
                0.00    0.00      35/20000430     close_state [3]
                0.00    0.00      39/20000430     luaH_free [122]
                0.00    0.00      42/20000430     luaF_freeproto [120]
                0.00    0.00     406/20000430     luaC_freeallobjects [4]
                0.04    0.02 19999881/20000430     dothecall [18]
[23]     0.2    0.04    0.02 20000430         luaM_free_ [23]
                0.02    0.00 20000430/40000947     l_alloc [28]
-----------------------------------------------
                0.00    0.00       1/20000364     stack_init [157]
                0.00    0.00       1/20000364     luaS_init [150]
                0.00    0.00      33/20000364     luaE_extendCI [125]
                0.00    0.00      39/20000364     luaH_resize <cycle 4> [118]
                0.04    0.02 20000290/20000364     luaC_newobj [16]
[24]     0.2    0.04    0.02 20000364         luaM_malloc_ [24]
                0.02    0.00 20000364/40000947     l_alloc [28]
-----------------------------------------------
                0.00    0.00       1/12          luaH_newkey <cycle 4> [57]
